"subject_uri","subjectBirthDate","birthPlace","birthPoint","r_property","organisation","orgPoint"
"http://dbpedia.org/resource/Christian_Gottlob_Heyne",1729-09-25,"http://dbpedia.org/resource/Chemnitz","50.833333333333336 12.916666666666666","almaMater","http://dbpedia.org/resource/Leipzig_University","51.33888888888889 12.37861111111111"
"http://dbpedia.org/resource/Thomas_Jefferson",1743-04-13,"http://dbpedia.org/resource/Shadwell,_Virginia","38.012382833333334 -78.41777783333333","almaMater","http://dbpedia.org/resource/College_of_William_&_Mary","37.270833333333336 -76.70833333333333"
"http://dbpedia.org/resource/Jean-François_Champollion",1790-12-23,"http://dbpedia.org/resource/Figeac","44.6086 2.0317","almaMater","http://dbpedia.org/resource/Collège_de_France","48.84916666666667 2.3455555555555554"
"http://dbpedia.org/resource/Jean-François_Champollion",1790-12-23,"http://dbpedia.org/resource/Figeac","44.6086 2.0317","almaMater","http://dbpedia.org/resource/Institut_national_des_langues_et_civilisations_orientales","48.8275 2.376388888888889"
"http://dbpedia.org/resource/William_Robertson_Smith",1846-11-08,"http://dbpedia.org/resource/Aberdeenshire","57.151 -2.123","almaMater","http://dbpedia.org/resource/New_College,_Edinburgh","55.9498 -3.1952"
"http://dbpedia.org/resource/William_Robertson_Smith",1846-11-08,"http://dbpedia.org/resource/Keig","57.26 -2.646","almaMater","http://dbpedia.org/resource/New_College,_Edinburgh","55.9498 -3.1952"
"http://dbpedia.org/resource/Arthur_Evans",1851-07-08,"http://dbpedia.org/resource/Nash_Mills","51.73 -0.451","almaMater","http://dbpedia.org/resource/University_of_Oxford","51.755 -1.255"
"http://dbpedia.org/resource/Francis_Kelsey",1858-05-23,"http://dbpedia.org/resource/Ogden,_New_York","43.166666666666664 -77.8","almaMater","http://dbpedia.org/resource/University_of_Rochester","43.128333 -77.628333"
"http://dbpedia.org/resource/Gustaf_Kossinna",1858-09-28,"http://dbpedia.org/resource/East_Prussia","54.733333333333334 20.483333333333334","institution","http://dbpedia.org/resource/Humboldt_University_of_Berlin","52.518055555555556 13.393333333333333"
"http://dbpedia.org/resource/Margaret_Murray",1863-07-13,"http://dbpedia.org/resource/Kolkata","22.5675 88.37","almaMater","http://dbpedia.org/resource/University_College_London","51.52472222222222 -0.13361111111111112"
"http://dbpedia.org/resource/Katherine_Routledge",1866-08-11,"http://dbpedia.org/resource/Darlington","54.527 -1.5526","almaMater","http://dbpedia.org/resource/Somerville_College,_Oxford","51.759044 -1.262272"
"http://dbpedia.org/resource/Campbell_Cowan_Edgar",1870-12-26,"http://dbpedia.org/resource/Tongland","54.8637 -4.0307","almaMater","http://dbpedia.org/resource/Oriel_College,_Oxford","51.7519 -1.2538"
"http://dbpedia.org/resource/Campbell_Cowan_Edgar",1870-12-26,"http://dbpedia.org/resource/Tongland","54.8637 -4.0307","institution","http://dbpedia.org/resource/Egyptian_Museum","30.047778 31.233333"
"http://dbpedia.org/resource/Grafton_Elliot_Smith",1871-08-15,"http://dbpedia.org/resource/Grafton,_New_South_Wales","-29.683333333333334 152.93333333333334","almaMater","http://dbpedia.org/resource/University_of_Cambridge","52.20527777777778 0.11722222222222221"
"http://dbpedia.org/resource/Grafton_Elliot_Smith",1871-08-15,"http://dbpedia.org/resource/Grafton,_New_South_Wales","-29.683333333333334 152.93333333333334","almaMater","http://dbpedia.org/resource/University_of_Sydney","-33.88777777777778 151.18722222222223"
"http://dbpedia.org/resource/Johan_Gunnar_Andersson",1874-07-03,"http://dbpedia.org/resource/Närke","59.243 15.271","almaMater","http://dbpedia.org/resource/Uppsala_University","59.8575 17.628888888888888"
"http://dbpedia.org/resource/John_Garstang",1876-05-05,"http://dbpedia.org/resource/Blackburn","53.748 -2.482","almaMater","http://dbpedia.org/resource/Jesus_College,_Oxford","51.7534 -1.2569"
"http://dbpedia.org/resource/Alfred_V._Kidder",1885-10-29,"http://dbpedia.org/resource/Marquette,_Michigan","46.54638888888889 -87.40666666666667","almaMater","http://dbpedia.org/resource/Harvard_University","42.37444444444444 -71.11694444444444"
"http://dbpedia.org/resource/Mortimer_Wheeler",1890-09-10,"http://dbpedia.org/resource/Glasgow","55.861111111111114 -4.25","almaMater","http://dbpedia.org/resource/University_College_London","51.52472222222222 -0.13361111111111112"
"http://dbpedia.org/resource/Jole_Bovio_Marconi",1897-01-21,"http://dbpedia.org/resource/Rome","41.89333333333333 12.482777777777777","almaMater","http://dbpedia.org/resource/Sapienza_University_of_Rome","41.903333333333336 12.515833333333333"
"http://dbpedia.org/resource/Einar_Gjerstad",1897-10-30,"http://dbpedia.org/resource/Örebro","59.27388888888889 15.2075","almaMater","http://dbpedia.org/resource/Uppsala_University","59.8575 17.628888888888888"
"http://dbpedia.org/resource/Jole_Bovio_Marconi",1897-01-21,"http://dbpedia.org/resource/Rome","41.89333333333333 12.482777777777777","institution","http://dbpedia.org/resource/University_of_Palermo","38.1177 13.3701"
"http://dbpedia.org/resource/Elinor_Mullett_Husselman",1900-04-04,"http://dbpedia.org/resource/Ann_Arbor,_Michigan","42.28138888888889 -83.74833333333333","almaMater","http://dbpedia.org/resource/University_of_Michigan","42.276944444444446 -83.73805555555556"
"http://dbpedia.org/resource/Elinor_Mullett_Husselman",1900-04-04,"http://dbpedia.org/resource/Ann_Arbor,_Michigan","42.271389 -83.736633","almaMater","http://dbpedia.org/resource/University_of_Michigan","42.276944444444446 -83.73805555555556"
"http://dbpedia.org/resource/Kazimierz_Michałowski",1901-12-14,"http://dbpedia.org/resource/Ternopil","49.56666666666667 25.6","almaMater","http://dbpedia.org/resource/University_of_Lviv","49.840555555555554 24.022222222222222"
"http://dbpedia.org/resource/Max_Mallowan",1904-05-06,"http://dbpedia.org/resource/London","51.507222222222225 -0.1275","almaMater","http://dbpedia.org/resource/New_College,_Oxford","51.754277 -1.251288"
"http://dbpedia.org/resource/Max_Mallowan",1904-05-06,"http://dbpedia.org/resource/Wandsworth","51.455 -0.192","almaMater","http://dbpedia.org/resource/New_College,_Oxford","51.754277 -1.251288"
"http://dbpedia.org/resource/Max_Mallowan",1904-05-06,"http://dbpedia.org/resource/London","51.507222222222225 -0.1275","institution","http://dbpedia.org/resource/All_Souls_College,_Oxford","51.753279 -1.253041"
"http://dbpedia.org/resource/Max_Mallowan",1904-05-06,"http://dbpedia.org/resource/Wandsworth","51.455 -0.192","institution","http://dbpedia.org/resource/All_Souls_College,_Oxford","51.753279 -1.253041"
"http://dbpedia.org/resource/James_Bennett_Griffin",1905-01-12,"http://dbpedia.org/resource/Atchison,_Kansas","39.5625 -95.12833333333333","almaMater","http://dbpedia.org/resource/University_of_Chicago","41.789722222222224 -87.59972222222223"
"http://dbpedia.org/resource/James_Bennett_Griffin",1905-01-12,"http://dbpedia.org/resource/Atchison,_Kansas","39.5625 -95.12833333333333","almaMater","http://dbpedia.org/resource/University_of_Michigan","42.276944444444446 -83.73805555555556"
"http://dbpedia.org/resource/James_Bennett_Griffin",1905-01-12,"http://dbpedia.org/resource/Atchison,_Kansas","39.5625 -95.12833333333333","institution","http://dbpedia.org/resource/University_of_Michigan","42.276944444444446 -83.73805555555556"
"http://dbpedia.org/resource/Alice_Kober",1906-12-23,"http://dbpedia.org/resource/New_York_City","40.71277777777778 -74.00611111111111","almaMater","http://dbpedia.org/resource/Hunter_College","40.768538 -73.964741"
"http://dbpedia.org/resource/Alice_Kober",1906-12-23,"http://dbpedia.org/resource/New_York_City","40.71277777777778 -74.00611111111111","almaMater","http://dbpedia.org/resource/Columbia_University","40.8075 -73.96194444444444"
"http://dbpedia.org/resource/Charles_Godakumbura",1907-12-05,"http://dbpedia.org/resource/Chilaw","7.583333333333333 79.8","almaMater","http://dbpedia.org/resource/Kingswood_College,_Kandy","7.277083333333334 80.61486111111111"
"http://dbpedia.org/resource/Avraham_Biran",1909-10-23,"http://dbpedia.org/resource/Petah_Tikva","32.08888888888889 34.88638888888889","almaMater","http://dbpedia.org/resource/Johns_Hopkins_University","39.32888888888889 -76.62027777777777"
"http://dbpedia.org/resource/Su_Bingqi",1909,"http://dbpedia.org/resource/Gaoyang_County","38.7 115.779","almaMater","http://dbpedia.org/resource/Beijing_Normal_University","39.95722222222222 116.3625"
"http://dbpedia.org/resource/Jacquetta_Hawkes",1910-08-05,"http://dbpedia.org/resource/Cambridge","52.20527777777778 0.11916666666666667","almaMater","http://dbpedia.org/resource/University_of_Cambridge","52.20527777777778 0.11722222222222221"
"http://dbpedia.org/resource/Anne_Strachan_Robertson",1910-05-03,"http://dbpedia.org/resource/Glasgow","55.861111111111114 -4.25","almaMater","http://dbpedia.org/resource/University_of_Glasgow","55.871944444444445 -4.2875"
"http://dbpedia.org/resource/Anne_Strachan_Robertson",1910-05-03,"http://dbpedia.org/resource/Glasgow","55.861111111111114 -4.25","institution","http://dbpedia.org/resource/University_of_Glasgow","55.871944444444445 -4.2875"
"http://dbpedia.org/resource/Chen_Mengjia",1911-04-20,"http://dbpedia.org/resource/Nanjing","32.0614 118.7636","almaMater","http://dbpedia.org/resource/Yenching_University","39.9917 116.304"
"http://dbpedia.org/resource/Irving_Rouse",1913-08-29,"http://dbpedia.org/resource/Rochester,_New_York","43.16555555555556 -77.61138888888888","almaMater","http://dbpedia.org/resource/Yale_University","41.31638888888889 -72.92222222222222"
"http://dbpedia.org/resource/Zdenko_Vinski",1913-05-03,"http://dbpedia.org/resource/Zagreb","45.81666666666667 15.983333333333333","almaMater","http://dbpedia.org/resource/University_of_Vienna","48.213055555555556 16.35972222222222"
"http://dbpedia.org/resource/Muazzez_İlmiye_Çığ",1914-06-20,"http://dbpedia.org/resource/Bursa","40.18333333333333 29.05","almaMater","http://dbpedia.org/resource/Ankara_University","39.9367 32.8303"
"http://dbpedia.org/resource/Rúaidhrí_de_Valera",1916-11-03,"http://dbpedia.org/resource/Dublin","53.35 -6.260277777777778","almaMater","http://dbpedia.org/resource/University_College_Dublin","53.30833333333333 -6.222222222222222"
"http://dbpedia.org/resource/Margaret_Ursula_Jones",1916-05-16,"http://dbpedia.org/resource/Birkenhead","53.393 -3.014","institution","http://dbpedia.org/resource/Mucking_(archaeological_site)","51.49388888888889 0.43"
"http://dbpedia.org/resource/Honor_Frost",1917-10-28,"http://dbpedia.org/resource/Nicosia","35.1725 33.365","institution","http://dbpedia.org/resource/UCL_Institute_of_Archaeology","51.525 -0.13166666666666668"
"http://dbpedia.org/resource/Ahmad_Hasan_Dani",1920-06-20,"http://dbpedia.org/resource/Basna","21.28 82.82","almaMater","http://dbpedia.org/resource/Banaras_Hindu_University","25.2677 82.9891"
"http://dbpedia.org/resource/Marija_Gimbutas",1921-01-23,"http://dbpedia.org/resource/Vilnius","54.687222222222225 25.28","almaMater","http://dbpedia.org/resource/Vilnius_University","54.6825 25.287222222222223"
"http://dbpedia.org/resource/Su_Bai",1922-08-03,"http://dbpedia.org/resource/Liaoning","41.1 122.3","almaMater","http://dbpedia.org/resource/Peking_University","39.98972222222222 116.30527777777777"
"http://dbpedia.org/resource/Su_Bai",1922-08-03,"http://dbpedia.org/resource/Shenyang","41.8025 123.42805555555556","almaMater","http://dbpedia.org/resource/Peking_University","39.98972222222222 116.30527777777777"
"http://dbpedia.org/resource/Fred_Wendorf",1924-07-31,"http://dbpedia.org/resource/Terrell,_Texas","32.7375 -96.2825","almaMater","http://dbpedia.org/resource/Harvard_University","42.37444444444444 -71.11694444444444"
"http://dbpedia.org/resource/Fred_Wendorf",1924-07-31,"http://dbpedia.org/resource/Terrell,_Texas","32.7375 -96.2825","institution","http://dbpedia.org/resource/Texas_Tech_University","33.584 -101.878"
"http://dbpedia.org/resource/Fred_Wendorf",1924-07-31,"http://dbpedia.org/resource/Terrell,_Texas","32.7375 -96.2825","institution","http://dbpedia.org/resource/Southern_Methodist_University","32.83855 -96.78294"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Zhejiang","29.2 120.5","almaMater","http://dbpedia.org/resource/Peking_University","39.98972222222222 116.30527777777777"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Zhejiang","29.2 120.5","almaMater","http://dbpedia.org/resource/Zhejiang_University","30.26361111111111 120.12083333333334"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Ningbo","29.869 121.554","almaMater","http://dbpedia.org/resource/Peking_University","39.98972222222222 116.30527777777777"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Ningbo","29.8603 121.6245","almaMater","http://dbpedia.org/resource/Peking_University","39.98972222222222 116.30527777777777"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Ningbo","29.869 121.554","almaMater","http://dbpedia.org/resource/Zhejiang_University","30.26361111111111 120.12083333333334"
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15,"http://dbpedia.org/resource/Ningbo","29.8603 121.6245","almaMater","http://dbpedia.org/resource/Zhejiang_University","30.26361111111111 120.12083333333334"
"http://dbpedia.org/resource/Seifollah_Kambakhshfard",1929-03-21,"http://dbpedia.org/resource/Tehran","35.689166666666665 51.388888888888886","almaMater","http://dbpedia.org/resource/University_of_Tehran","35.70333333333333 51.395"
"http://dbpedia.org/resource/Seifollah_Kambakhshfard",1929-03-21,"http://dbpedia.org/resource/Tehran","35.689166666666665 51.388888888888886","institution","http://dbpedia.org/resource/University_of_Tehran","35.70333333333333 51.395"
"http://dbpedia.org/resource/Seifollah_Kambakhshfard",1929-03-21,"http://dbpedia.org/resource/Tehran","35.689166666666665 51.388888888888886","institution","http://dbpedia.org/resource/National_Museum_of_Iran","35.687044444444446 51.414611111111114"
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21,"http://dbpedia.org/resource/Norfolk,_Virginia","36.846944444444446 -76.28527777777778","almaMater","http://dbpedia.org/resource/University_of_Michigan","42.276944444444446 -83.73805555555556"
