"s","birthDate"
"http://dbpedia.org/resource/Athanasius_Kircher",1602-05-02
"http://dbpedia.org/resource/Antoine_Galland",1646-04-04
"http://dbpedia.org/resource/Johann_Joachim_Winckelmann",1717-12-09
"http://dbpedia.org/resource/Christian_Gottlob_Heyne",1729-09-25
"http://dbpedia.org/resource/Thomas_Jefferson",1743-04-13
"http://dbpedia.org/resource/William_Gell",1777-03-31
"http://dbpedia.org/resource/Johann_Michael_Ackner",1782-01-25
"http://dbpedia.org/resource/Friedrich_Gottlieb_Welcker",1784-11-04
"http://dbpedia.org/resource/Jacques_Boucher_de_Crèvecœur_de_Perthes",1788-09-10
"http://dbpedia.org/resource/Christian_Jürgensen_Thomsen",1788-12-29
"http://dbpedia.org/resource/Jean-François_Champollion",1790-12-23
"http://dbpedia.org/resource/Philippe-Charles_Schmerling",1791-03-02
"http://dbpedia.org/resource/John_MacEnery",1797-11-27
"http://dbpedia.org/resource/Charles_Fellows",1799-08-31
"http://dbpedia.org/resource/Prosper_Mérimée",1803-09-28
"http://dbpedia.org/resource/Joseph_George_Cumming",1812-02-15
"http://dbpedia.org/resource/Alexander_Cunningham",1814-01-23
"http://dbpedia.org/resource/Andrew_Ramsay_(geologist)",1814-01-31
"http://dbpedia.org/resource/Ernst_Curtius",1814-09-02
"http://dbpedia.org/resource/Charles_Thomas_Newton",1816-09-16
"http://dbpedia.org/resource/Austen_Henry_Layard",1817-03-05
"http://dbpedia.org/resource/Jens_Jacob_Asmussen_Worsaae",1821-03-14
"http://dbpedia.org/resource/Thomas_Bateman",1821-11-08
"http://dbpedia.org/resource/Heinrich_Schliemann",1822-01-06
"http://dbpedia.org/resource/John_Evans_(archaeologist)",1823-11-17
"http://dbpedia.org/resource/Augustus_Le_Plongeon",1825-05-04
"http://dbpedia.org/resource/Augustus_Pitt_Rivers",1827-04-14
"http://dbpedia.org/resource/Amelia_Edwards",1831-06-07
"http://dbpedia.org/resource/Alexandru_Odobescu",1834-01-23
"http://dbpedia.org/resource/John_Lubbock,_1st_Baron_Avebury",1834-04-30
"http://dbpedia.org/resource/William_Thompson_Watkin",1836-10-15
"http://dbpedia.org/resource/François_Lenormant",1837-01-17
"http://dbpedia.org/resource/William_Boyd_Dawkins",1837-12-26
"http://dbpedia.org/resource/Adolph_Francis_Alphonse_Bandelier",1840-08-06
"http://dbpedia.org/resource/Clarence_Bicknell",1842-08-27
"http://dbpedia.org/resource/Osman_Hamdi_Bey",1842-12-30
"http://dbpedia.org/resource/Oscar_Montelius",1843-09-09
"http://dbpedia.org/resource/Gaston_Maspero",1846-06-23
"http://dbpedia.org/resource/William_Robertson_Smith",1846-11-08
"http://dbpedia.org/resource/Percy_Gardner",1846-11-24
"http://dbpedia.org/resource/Grigore_Tocilescu",1850-10-26
"http://dbpedia.org/resource/Arthur_Evans",1851-07-08
"http://dbpedia.org/resource/Clarence_Bloomfield_Moore",1852-01-14
"http://dbpedia.org/resource/James_Theodore_Bent",1852-03-30
"http://dbpedia.org/resource/Wilhelm_Dörpfeld",1853-12-26
"http://dbpedia.org/resource/Robert_Koldewey",1855-09-10
"http://dbpedia.org/resource/Francis_Kelsey",1858-05-23
"http://dbpedia.org/resource/Gustaf_Kossinna",1858-09-28
"http://dbpedia.org/resource/Giacomo_Boni_(archaeologist)",1859-04-25
"http://dbpedia.org/resource/Victor_Loret",1859-09-01
"http://dbpedia.org/resource/John_Wesley_Gilbert",1863-07-06
"http://dbpedia.org/resource/Margaret_Murray",1863-07-13
"http://dbpedia.org/resource/Ludwig_Borchardt",1863-10-05
"http://dbpedia.org/resource/James_Henry_Breasted",1865-08-27
"http://dbpedia.org/resource/Edgar_Lee_Hewett",1865-11-23
"http://dbpedia.org/resource/Warren_K._Moorehead",1866-03-10
"http://dbpedia.org/resource/Katherine_Routledge",1866-08-11
"http://dbpedia.org/resource/Albert_Lythgoe",1868-03-15
"http://dbpedia.org/resource/Gertrude_Bell",1868-07-14
"http://dbpedia.org/resource/Campbell_Cowan_Edgar",1870-12-26
"http://dbpedia.org/resource/Grafton_Elliot_Smith",1871-08-15
"http://dbpedia.org/resource/Harriet_Boyd_Hawes",1871-10-11
"http://dbpedia.org/resource/Bert_Hodge_Hill",1874-03-07
"http://dbpedia.org/resource/Johan_Gunnar_Andersson",1874-07-03
"http://dbpedia.org/resource/Ida_Hill",1875-08-11
"http://dbpedia.org/resource/Hiram_Bingham_III",1875-11-19
"http://dbpedia.org/resource/John_Marshall_(archaeologist)",1876-03-19
"http://dbpedia.org/resource/John_Garstang",1876-05-05
"http://dbpedia.org/resource/Edward_Thurlow_Leeds",1877-07-29
"http://dbpedia.org/resource/Julio_C._Tello",1880-04-11
"http://dbpedia.org/resource/Leonard_Woolley",1880-04-17
"http://dbpedia.org/resource/Vasile_Pârvan",1882-09-28
"http://dbpedia.org/resource/Cyril_Fox",1882-12-16
"http://dbpedia.org/resource/Jadwiga_Szeptycka",1883-03-16
"http://dbpedia.org/resource/Alice_Leslie_Walker",1885-06-26
"http://dbpedia.org/resource/Alfred_V._Kidder",1885-10-29
"http://dbpedia.org/resource/O._G._S._Crawford",1886-10-28
"http://dbpedia.org/resource/Carl_Blegen",1887-01-27
"http://dbpedia.org/resource/Dorothy_Lamb",1887-10-04
"http://dbpedia.org/resource/Eleazar_Sukenik",1889-08-12
"http://dbpedia.org/resource/Gerhard_Bersu",1889-09-26
"http://dbpedia.org/resource/Mortimer_Wheeler",1890-09-10
"http://dbpedia.org/resource/William_F._Albright",1891-05-24
"http://dbpedia.org/resource/Dorothy_Garrod",1892-05-05
"http://dbpedia.org/resource/Therkel_Mathiassen",1892-09-05
"http://dbpedia.org/resource/Guo_Moruo",1892-11-16
"http://dbpedia.org/resource/Raymond_Dart",1893-02-04
"http://dbpedia.org/resource/Gertrud_Dorka",1893-03-19
"http://dbpedia.org/resource/Tessa_Wheeler",1893-03-27
"http://dbpedia.org/resource/Huang_Wenbi",1893-04-23
"http://dbpedia.org/resource/Elizabeth_Warder_Crozer_Campbell",1893-08-11
"http://dbpedia.org/resource/Luisa_Banti",1894-07-13
"http://dbpedia.org/resource/Raissa_Calza",1894-12-28
"http://dbpedia.org/resource/Dong_Zuobin",1895-03-20
"http://dbpedia.org/resource/Luigi_Maria_Ugolini",1895-09-08
"http://dbpedia.org/resource/Senarath_Paranavithana",1896-12-26
"http://dbpedia.org/resource/Jole_Bovio_Marconi",1897-01-21
"http://dbpedia.org/resource/Einar_Gjerstad",1897-10-30
"http://dbpedia.org/resource/Constantin_Daicoviciu",1898-03-01
"http://dbpedia.org/resource/Marion_Rawson",1899-08-17
"http://dbpedia.org/resource/Ranuccio_Bianchi_Bandinelli",1900-02-19
"http://dbpedia.org/resource/Elinor_Mullett_Husselman",1900-04-04
"http://dbpedia.org/resource/Glenn_Albert_Black",1900-08-18
"http://dbpedia.org/resource/Norman_Tindale",1900-10-12
"http://dbpedia.org/resource/André_Parrot",1901-02-15
"http://dbpedia.org/resource/Spyridon_Marinatos",1901-11-04
"http://dbpedia.org/resource/Kazimierz_Michałowski",1901-12-14
"http://dbpedia.org/resource/Jean-Philippe_Lauer",1902-05-07
"http://dbpedia.org/resource/Louis_Leakey",1903-08-07
"http://dbpedia.org/resource/Emil_Haury",1904-05-02
"http://dbpedia.org/resource/Max_Mallowan",1904-05-06
"http://dbpedia.org/resource/James_Bennett_Griffin",1905-01-12
"http://dbpedia.org/resource/Christopher_Hawkes",1905-06-05
"http://dbpedia.org/resource/Marie_Hackin",1905-09-07
"http://dbpedia.org/resource/W._F._Grimes",1905-10-31
"http://dbpedia.org/resource/Robert_Hamilton_(archaeologist)",1905-11-26
"http://dbpedia.org/resource/Kathleen_Kenyon",1906-01-05
"http://dbpedia.org/resource/Alberto_Ruz_Lhuillier",1906-01-27
"http://dbpedia.org/resource/Joan_du_Plat_Taylor",1906-06-26
"http://dbpedia.org/resource/Benjamin_Mazar",1906-06-28
"http://dbpedia.org/resource/Alice_Kober",1906-12-23
"http://dbpedia.org/resource/Dumitru_Berciu",1907-01-27
"http://dbpedia.org/resource/Robert_John_Braidwood",1907-06-29
"http://dbpedia.org/resource/Aileen_Fox",1907-07-29
"http://dbpedia.org/resource/Bertha_Parker_Pallan",1907-08-30
"http://dbpedia.org/resource/Charles_Godakumbura",1907-12-05
"http://dbpedia.org/resource/Nikolaos_Platon",1909-01-08
"http://dbpedia.org/resource/Linda_Braidwood",1909-10-09
"http://dbpedia.org/resource/Avraham_Biran",1909-10-23
"http://dbpedia.org/resource/Mercy_Seiradaki",1910-04-16
"http://dbpedia.org/resource/Veronica_Seton-Williams",1910-04-20
"http://dbpedia.org/resource/Anne_Strachan_Robertson",1910-05-03
"http://dbpedia.org/resource/Stuart_Piggott",1910-05-28
"http://dbpedia.org/resource/Cleo_Rickman_Fitch",1910-06-16
"http://dbpedia.org/resource/Jacquetta_Hawkes",1910-08-05
"http://dbpedia.org/resource/Elsie_Jury",1910-10-11
"http://dbpedia.org/resource/Ekrem_Akurgal",1911-03-30
"http://dbpedia.org/resource/Kenneth_Oakley",1911-04-07
"http://dbpedia.org/resource/Chen_Mengjia",1911-04-20
"http://dbpedia.org/resource/Marion_Stirling_Pugh",1911-05-12
"http://dbpedia.org/resource/André_Leroi-Gourhan",1911-08-25
"http://dbpedia.org/resource/Jean_Boisselier",1912-08-26
"http://dbpedia.org/resource/Mary_Leakey",1913-02-06
"http://dbpedia.org/resource/Helen_Waterhouse",1913-03-05
"http://dbpedia.org/resource/Gordon_Willey",1913-03-07
"http://dbpedia.org/resource/Zdenko_Vinski",1913-05-03
"http://dbpedia.org/resource/James_Stewart_(archaeologist)",1913-07-11
"http://dbpedia.org/resource/Irving_Rouse",1913-08-29
"http://dbpedia.org/resource/Glyn_Daniel",1914-04-23
"http://dbpedia.org/resource/Muazzez_İlmiye_Çığ",1914-06-20
"http://dbpedia.org/resource/Margaret_Ursula_Jones",1916-05-16
"http://dbpedia.org/resource/Rúaidhrí_de_Valera",1916-11-03
"http://dbpedia.org/resource/John_C._Trever",1916-11-26
"http://dbpedia.org/resource/Yigael_Yadin",1917-03-20
"http://dbpedia.org/resource/Honor_Frost",1917-10-28
"http://dbpedia.org/resource/John_Howland_Rowe",1918-06-10
"http://dbpedia.org/resource/Crystal_Bennett",1918-08-20
"http://dbpedia.org/resource/Lili_Kaelas",1919-01-30
"http://dbpedia.org/resource/Ahmad_Hasan_Dani",1920-06-20
"http://dbpedia.org/resource/Marija_Gimbutas",1921-01-23
"http://dbpedia.org/resource/B._B._Lal",1921-05-02
"http://dbpedia.org/resource/Betty_Meggers",1921-12-05
"http://dbpedia.org/resource/Su_Bai",1922-08-03
"http://dbpedia.org/resource/Trude_Dothan",1922-10-12
"http://dbpedia.org/resource/Ian_Graham",1923-11-12
"http://dbpedia.org/resource/Fred_Wendorf",1924-07-31
"http://dbpedia.org/resource/Louis_Dupree_(professor)",1925-08-23
"http://dbpedia.org/resource/Wang_Zhongshu",1925-10-15
"http://dbpedia.org/resource/James_Mellaart",1925-11-14
"http://dbpedia.org/resource/Aubrey_Burl",1926-09-24
"http://dbpedia.org/resource/Donald_Lathrap",1927-07-04
"http://dbpedia.org/resource/Ma_Chengyuan",1927-11-03
"http://dbpedia.org/resource/Stanley_South",1928-02-02
"http://dbpedia.org/resource/John_Wymer",1928-03-05
"http://dbpedia.org/resource/Charles_Thomas_(historian)",1928-04-26
"http://dbpedia.org/resource/Seifollah_Kambakhshfard",1929-03-21
"http://dbpedia.org/resource/Mai_Yinghao",1929-07-15
"http://dbpedia.org/resource/Viktor_Sarianidi",1929-09-23
"http://dbpedia.org/resource/R._Nagaswamy",1930-08-10
"http://dbpedia.org/resource/Fumiko_Ikawa-Smith",1930-09-10
"http://dbpedia.org/resource/George_Eogan",1930-09-14
"http://dbpedia.org/resource/Elizabeth_French",1931-01-19
"http://dbpedia.org/resource/Larissa_Bonfante",1931-03-27
"http://dbpedia.org/resource/Kwang-chih_Chang",1931-04-15
"http://dbpedia.org/resource/Alexandru_Vulpe",1931-06-16
"http://dbpedia.org/resource/Brian_Dobson_(archaeologist)",1931-09-13
"http://dbpedia.org/resource/Lewis_Binford",1931-11-21
"http://dbpedia.org/resource/Sarah_Milledge_Nelson",1931-11-29
"http://dbpedia.org/resource/Youssef_Hourany",1931-12-25
"http://dbpedia.org/resource/Patty_Jo_Watson",1932-04-26
"http://dbpedia.org/resource/George_Bass_(archaeologist)",1932-12-09
"http://dbpedia.org/resource/Susan_Bulmer",1933-02-17
"http://dbpedia.org/resource/Henrieta_Todorova",1933-02-25
"http://dbpedia.org/resource/Li_Xueqin",1933-03-28
"http://dbpedia.org/resource/Ufuk_Esin",1933-10-11
"http://dbpedia.org/resource/Parviz_Varjavand",1934-01-05
"http://dbpedia.org/resource/Peter_Garlake",1934-01-11
"http://dbpedia.org/resource/Ehud_Netzer",1934-05-13
"http://dbpedia.org/resource/Isabel_McBryde",1934-07-16
"http://dbpedia.org/resource/Karl_Butzer",1934-08-19
"http://dbpedia.org/resource/E._C._L._During_Caspers",1934-09-01
"http://dbpedia.org/resource/John_Clegg_(archaeologist)",1935-01-11
"http://dbpedia.org/resource/James_B._Stoltman",1935-02-06
"http://dbpedia.org/resource/Chen_Tiemei",1935-06-30
"http://dbpedia.org/resource/Hilary_Deacon",1936-01-10
"http://dbpedia.org/resource/Cynthia_Irwin-Williams",1936-04-14
"http://dbpedia.org/resource/Josephine_Flood",1936-07-25
"http://dbpedia.org/resource/Brian_M._Fagan",1936-08-01
"http://dbpedia.org/resource/Martha_Sharp_Joukowsky",1936-09-02
"http://dbpedia.org/resource/Martin_Biddle",1937-06-04
"http://dbpedia.org/resource/Bruce_Trigger",1937-06-18
"http://dbpedia.org/resource/Colin_Renfrew",1937-07-25
"http://dbpedia.org/resource/Gheorghe_I._Cantacuzino",1937-09-13
"http://dbpedia.org/resource/David_L._Clarke",1937-10-03
"http://dbpedia.org/resource/Glynn_Isaac",1937-11-19
"http://dbpedia.org/resource/Lamia_Al-Gailani_Werr",1938-03-08
"http://dbpedia.org/resource/Peter_Ucko",1938-07-27
"http://dbpedia.org/resource/Ron_Vanderwal",1938-08-07
"http://dbpedia.org/resource/Paul_Mellars",1939-10-20
"http://dbpedia.org/resource/Janette_Deacon",1939-11-25
"http://dbpedia.org/resource/Malcolm_Todd",1939-11-27
"http://dbpedia.org/resource/Barry_Cunliffe",1939-12-10
"http://dbpedia.org/resource/Sadegh_Malek_Shahmirzadi",1940-04-24
"http://dbpedia.org/resource/Cajsa_S._Lund",1940-05-23
"http://dbpedia.org/resource/Jean-François_Jarrige",1940-08-05
"http://dbpedia.org/resource/Manfred_Bietak",1940-10-06
"http://dbpedia.org/resource/Richard_Klein_(paleoanthropologist)",1941-04-11
"http://dbpedia.org/resource/Dilip_Kumar_Chakrabarti",1941-04-27
"http://dbpedia.org/resource/Carmel_Schrire",1941-05-15
"http://dbpedia.org/resource/Martin_Carver",1941-07-08
"http://dbpedia.org/resource/Foss_Leach",1942-02-16
"http://dbpedia.org/resource/Siran_Upendra_Deraniyagala",1942-03-01
"http://dbpedia.org/resource/Manfred_Korfmann",1942-04-26
"http://dbpedia.org/resource/Alireza_Shapour_Shahbazi",1942-09-04
"http://dbpedia.org/resource/William_W._Fitzhugh",1943-02-01
"http://dbpedia.org/resource/Donald_Johanson",1943-06-28
"http://dbpedia.org/resource/Peter_Woodman",1943-07-02
"http://dbpedia.org/resource/Gordon_Hillman",1943-07-20
"http://dbpedia.org/resource/Victor_Spinei",1943-10-26
"http://dbpedia.org/resource/Roland_Étienne_(archaeologist)",1944-04-18
"http://dbpedia.org/resource/Katsuhiko_Ohnuma",1944-06-02
"http://dbpedia.org/resource/Timothy_W._Potter",1944-07-06
"http://dbpedia.org/resource/Norman_Hammond",1944-07-10
"http://dbpedia.org/resource/Richard_Leakey",1944-12-19
"http://dbpedia.org/resource/Francis_Pryor",1945-01-13
"http://dbpedia.org/resource/Elizabeth_Brumfiel",1945-03-10
"http://dbpedia.org/resource/Andrew_Sherratt",1946-05-08
"http://dbpedia.org/resource/Mick_Aston",1946-07-01
"http://dbpedia.org/resource/Gary_Urton",1946-07-07
"http://dbpedia.org/resource/Richard_Bradley_(archaeologist)",1946-11-18
"http://dbpedia.org/resource/Roger_Jacobi",1947-02-16
"http://dbpedia.org/resource/Ronny_Reich",1947-03-31
"http://dbpedia.org/resource/Zahi_Hawass",1947-05-28
"http://dbpedia.org/resource/Pasko_Kuzman",1947-10-15
"http://dbpedia.org/resource/Roger_Cribb",1948-01-06
"http://dbpedia.org/resource/Paolo_Biagi",1948-01-30
"http://dbpedia.org/resource/Lotte_Hedeager",1948-02-24
"http://dbpedia.org/resource/Marc_Waelkens",1948-04-12
"http://dbpedia.org/resource/David_L._Kennedy",1948-04-25
"http://dbpedia.org/resource/Ian_Hodder",1948-11-23
"http://dbpedia.org/resource/Israel_Finkelstein",1949-03-29
"http://dbpedia.org/resource/Alasdair_Whittle",1949-05-07
"http://dbpedia.org/resource/Susan_Sherratt",1949-09-26
"http://dbpedia.org/resource/Phil_Harding_(archaeologist)",1950-01-25
"http://dbpedia.org/resource/Carol_van_Driel-Murray",1950-05-20
"http://dbpedia.org/resource/Mike_Morwood",1950-10-27
"http://dbpedia.org/resource/Mary_Beaudry",1950-11-25
"http://dbpedia.org/resource/Marek_Zvelebil",1952-01-09
"http://dbpedia.org/resource/Richard_Hodges_(archaeologist)",1952-09-29
"http://dbpedia.org/resource/John_C._Whittaker",1953-09-06
"http://dbpedia.org/resource/Lynne_Goldstein",1953-09-18
"http://dbpedia.org/resource/Klaus_Schmidt_(archaeologist)",1953-12-11
"http://dbpedia.org/resource/Caroline_Wickham-Jones",1955-04-25
"http://dbpedia.org/resource/Wil_Roebroeks",1955-05-05
"http://dbpedia.org/resource/Ricardo_Eichmann",1955-11-01
"http://dbpedia.org/resource/Eilat_Mazar",1956-09-10
"http://dbpedia.org/resource/Jacques_Breuer",1956-10-20
"http://dbpedia.org/resource/Fred_Vargas",1957-06-07
"http://dbpedia.org/resource/Mike_Parker_Pearson",1957-06-26
"http://dbpedia.org/resource/Claire_Smith_(archaeologist)",1957-07-15
"http://dbpedia.org/resource/Neil_Faulkner_(archaeologist)",1958-01-22
"http://dbpedia.org/resource/Vincent_Gaffney",1958-02-25
"http://dbpedia.org/resource/Louise_Zarmati",1958-08-08
"http://dbpedia.org/resource/Eric_H._Cline",1960-09-01
"http://dbpedia.org/resource/Barbara_Borg",1960-12-26
"http://dbpedia.org/resource/Christopher_Gaffney_(archaeologist)",1962-06-14
"http://dbpedia.org/resource/Carl_L._Thunberg",1963-10-25
"http://dbpedia.org/resource/Peter_N._Peregrine",1963-11-29
"http://dbpedia.org/resource/Florin_Curta",1965-01-15
"http://dbpedia.org/resource/Sharada_Srinivasan",1966-01-16
"http://dbpedia.org/resource/Neil_Oliver",1967-02-21
"http://dbpedia.org/resource/Roderick_Salisbury",1967-06-19
"http://dbpedia.org/resource/Birgitta_Hoffmann",1969-05-18
"http://dbpedia.org/resource/Fereidoun_Biglari",1970-03-09
"http://dbpedia.org/resource/Martin_Rundkvist",1972-04-04
